gene_a.name,gene_a.identifier,gene_b.name,gene_b.identifier,NonSL.cell_line,NonSL.pubmed_id,NonSL.source,NonSL.statistic_score
BRCA1,672,CHEK2,11200,A549,31300006,CRISPR/CRISPRi,0.69
BRCA2,675,CHEK2,11200,786O,31300006,CRISPR/CRISPRi,0.38
AKT1,207,CHEK2,11200,A549,31300006,CRISPR/CRISPRi,0.69
CHEK1,1111,CHEK2,11200,A375,31300006,CRISPR/CRISPRi,1.0
CDC73,79577,CNOT1,23019,K562,31300006,CRISPR/CRISPRi,0.13
BDP1,55814,CNOT1,23019,Jurkat,31300006,CRISPR/CRISPRi,0.02
CDK1,983,CNOT1,23019,Jurkat,31300006,CRISPR/CRISPRi,0.01
BTF3,689,CNOT1,23019,K562,31300006,CRISPR/CRISPRi,0.16
NDUFA2,4695,WDR7,23335,Jurkat,31300006,CRISPR/CRISPRi,0.03
DDX18,8886,WDR7,23335,Jurkat,31300006,CRISPR/CRISPRi,0.04
DMAP1,55929,WDR7,23335,Jurkat,31300006,CRISPR/CRISPRi,0.02
COPA,1314,WDR7,23335,Jurkat,31300006,CRISPR/CRISPRi,0.01
POLD3,10714,WDR7,23335,Jurkat,31300006,CRISPR/CRISPRi,0.05
RPS18,6222,WDR7,23335,Jurkat,31300006,CRISPR/CRISPRi,0.02
RPL24,6152,WDR7,23335,K562;Jurkat,31300006,CRISPR/CRISPRi,0.08
CDC73,79577,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.13
COPS2,9318,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.18
GFER,2671,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.15
DNA2,1763,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.17
ATXN10,25814,KDM1A,23028,Jurkat,31300006,CRISPR/CRISPRi,0.07
DDX18,8886,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.1
DICER1,23405,KDM1A,23028,Jurkat,31300006,CRISPR/CRISPRi,0.02
HSPA5,3309,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.16
CIT,11113,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.1
DMAP1,55929,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.17
GTF3C3,9330,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.13
DONSON,29980,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.1
CDC23,8697,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.11
CNOT1,23019,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.12
FARSB,10056,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.18
CDK1,983,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.16
EMG1,10436,KDM1A,23028,K562,31300006,CRISPR/CRISPRi,0.12
